country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,dist_to_greenspace,dist_to_bikePOI,bike_points,bus_stops,restaurants,shop_list,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,lc_entropy,pop_sum,build_area
Netherlands,Rotterdam,y,32631,Soetendaalsebocht (oostzijde) van Rotterdam Noord naar Rotterdam Centrum tzv A20 (2 Ri.),2022,38,51.9414787,4.48592,78270,44,75,3.409090909,8253.396,110.04528,3.295454545,43,6484.305,60,108.07175,1.113674372,26,12,86,55,0,0,0,0,1591.019853,0.441064752,0.202200355,1.356164384,1.704438442,18.64300286,0.970597944,0.822223419,541.1981201,14220.02526
Netherlands,Rotterdam,y,32631,Veilingbrug (oostzijde) van Rotterdam Centrum naar Rotterdam Noord tzv A20 (1 Ri.),2022,38,51.9419403,4.4890299,17084,27,47,3.481481481,6282.227,133.6644043,3.37037037,26,4454.836,38,117.2325263,1.15848844,14,8,32,103,0,0,0,0,1586.920166,0.487411274,0.215193256,0.645454545,2.416181675,18.17731268,1.164306597,0.894046,497.4797363,9229.683103
Netherlands,Rotterdam,y,32631,Veilingbrug (westzijde) van Rotterdam Noord naar Rotterdam Centrum tzv A20 (1 Ri.),2022,38,51.9419708,4.4889302,12796,28,48,3.428571429,6644.378,138.4245417,3.357142857,27,4816.987,39,123.5124872,1.157439799,15,8,32,103,0,0,0,0,1593.246984,0.487974951,0.214496579,0.581818182,2.388920708,18.15234819,1.111740242,0.892728213,497.4797363,9159.892279
Netherlands,Rotterdam,y,32631,Pleinweg,2022,38,51.8899117,4.4874101,83148,77,148,3.844155844,13383.018,90.4257973,3.233766234,76,10466.959,106,98.74489623,1.045482108,54,21,150,0,0,5,8,5,1407.429699,0.285397597,0.16879437,2.701834862,1.483269489,20.16572445,0.434345067,0.775331258,528.4650269,55121.56744
Netherlands,Rotterdam,y,32631,Varkenoordseviaduct (noordoostzijde) van Rotterdam Vreewijk naar Kop van Zuid thv spoor (1 Ri.),2022,38,51.8973007,4.5184202,40670,34,77,4.529411765,9319.352,121.0305455,3.294117647,33,6581.982,47,140.0421702,1.048746449,21,12,0,0,0,0,1,0,2289.779102,0.161914872,0.102177115,2.669767442,2.803281705,20.35463754,1.230124024,0.745533268,400.8898315,23755.35929
Netherlands,Rotterdam,y,32631,Varkenoordseviaduct (zuidwestzijde) van de Kop van Zuid naar Rotterdam IJsselmonde thv spoor (1 Ri.),2022,38,51.8968811,4.51827,55324,31,68,4.387096774,8577.773,126.1437206,3.290322581,30,6169.599,42,146.8952143,1.045826471,19,11,0,0,0,0,1,0,2266.402982,0.183727648,0.125815917,2.424657534,2.844129458,20.47283016,0.955613074,0.702755242,456.0723572,25696.29284
Netherlands,Rotterdam,y,32631,Breeweg (zuidzijde) tussen Rotterdam Vreewijk en Rotterdam IJsselmonde (thv spoor),2022,38,51.8910789,4.51933,20080,37,67,3.621621622,7097.042,105.926,3.054054054,36,5184.966,45,115.2214667,1.050858745,30,5,0,0,0,1,0,0,2235.8092,0.376021919,0.213306507,0.68202765,1.689026535,19.54284274,0.682884525,0.797994006,433.4033813,21601.121
Netherlands,Rotterdam,y,32631,Breeweg (noordzijde) tussen Rotterdam Vreewijk en Rotterdam IJsselmonde (thv spoor),2022,38,51.8912086,4.5192299,16512,39,71,3.641025641,7523.32,105.9622535,3.076923077,38,5546.206,48,115.5459583,1.047466175,31,6,0,129,0,1,0,0,2183.638484,0.371126697,0.213199004,0.753424658,1.658911085,19.58441469,0.723834024,0.796151197,471.1289673,21926.41974
Netherlands,Rotterdam,y,32631,Lombardijepad tzv A15 van Rotterdam naar Barendrecht (2 Ri.) ,2022,38,51.86866,4.5020299,44584,4,5,2.5,1536.041,307.2082,2.25,3,994.411,3,331.4703333,1.042383309,2,0,193,0,1,0,0,0,2256.557496,0.613451974,0.212790583,-0.270642202,1.509954903,15.3627101,0.738001,0.876161601,188.5357056,4946.744766
Netherlands,Rotterdam,y,32631,Spinozaweg (noordwestzijde) van Rotterdam IJsselmonde naar Rotterdam Lombardijen thv spoor (2 Ri.),2022,38,51.8798409,4.5297599,16570,51,99,3.882352941,8157.323,82.39720202,2.450980392,36,5136.035,53,96.90632075,1.066617168,34,2,56,96,4,4,0,0,1240.01136,0.372102356,0.207458047,-0.204545455,1.250082642,18.51721857,0.413098892,0.899039166,429.657074,29217.14842
Netherlands,Rotterdam,y,32631,Spinozaweg (zuidoostzijde) van Rotterdam Lombardijen naar Rotterdam IJsselmonde thv spoor (2 Ri.),2022,38,51.8793297,4.5299602,30924,48,93,3.875,7866.763,84.58884946,2.541666667,36,4990.755,50,99.8151,1.076122099,34,2,54,199,4,2,0,0,1293.578938,0.367354639,0.198377062,-0.427230047,1.36027142,18.50167116,0.395561729,0.883561065,459.3146667,29958.09848
Netherlands,Rotterdam,y,32631,Ijsselmondse Randweg (S104) (noordoostzijde) van Barendrecht naar Rotterdam thv A15 (2 Ri.),2022,38,51.870491,4.5503402,52600,39,73,3.743589744,10616.809,145.4357397,3.230769231,36,7883.194,54,145.9850741,1.134866695,22,13,0,0,2,2,1,0,1280.761884,0.362897712,0.221474847,-1.470319635,1.909549515,19.4579543,1.172341688,0.643923771,371.7485352,39106.29785
Netherlands,Rotterdam,y,32631,Van Brienenoordbrug van Rotterdam Centrum naar Rotterdam Zuid (2 Ri.),2022,38,51.8991089,4.5488901,91974,62,111,3.580645161,13575.907,122.3054685,2.919354839,54,10786.486,79,136.5377975,1.088253217,41,12,109,55,0,3,1,0,2776.045666,0.460010836,0.217253958,4.328767123,3.271803412,18.58776577,0.48534765,0.76664409,381.6585999,18374.65407
Netherlands,Rotterdam,y,32631,Toepad (noordwestzijde) van Rotterdam naar Capelle aan den IJssel thv A16 (2 Ri.),2022,38,51.9092407,4.5397401,65822,11,24,4.363636364,3459.526,144.1469167,2.818181818,10,1761.064,13,135.4664615,1.092877647,10,0,44,0,1,0,0,0,2028.674376,0.395167238,0.253890422,3.834862385,2.497755916,19.325155,1.217160659,0.774205471,444.5823059,32662.66695
Netherlands,Rotterdam,y,32631,Bergweg Zuid van Bergschenhoek naar Rotterdam tzv N209 (2 Ri.),2022,38,51.9787292,4.497602,58272,40,66,3.3,10006.96,151.6206061,2.85,38,6495.579,51,127.3642941,1.072930169,36,0,127,0,0,3,0,0,891.1632214,0.427535419,0.246355374,-4.231481481,1.7272676,19.67045763,2.192127297,0.793609888,263.1068726,31768.09105
Netherlands,Rotterdam,y,32631,Rottebandreef van Prins Alexander naar Prins Bleiswijk thv P Inktzwam (2r),2022,38,51.9709206,4.5387259,6816,8,16,4,8192.712,512.0445,2.25,5,4096.356,8,512.0445,1.085655084,5,0,127,127,0,0,0,0,643.4382908,0.592352835,0.190126391,-5.191588785,2.40826542,16.7008821,0.452989594,0.746791811,90.89548492,4757.541405
Netherlands,Rotterdam,y,32631,Rottekade van Bleiswijk naar Prins Alexander thv hnr. 36 (2r),2022,38,51.9717674,4.5437031,25656,7,14,4,1028.882,73.49157143,2.428571429,5,514.441,7,73.49157143,1.399165158,5,0,30,0,0,0,1,0,1168.399667,0.588654843,0.185946858,-5.01826484,2.400463179,16.70353302,0.454899777,0.760339097,140.966217,3983.173834
Netherlands,Rotterdam,y,32631,Rottebandreef van Prins Alexander naar Prins Bleiswijk thv P Vliegenzwamplaats (2r),2022,38,51.9813995,4.5489268,5516,8,16,4,6575.8,410.9875,2.25,5,3287.9,8,410.9875,1.131656197,5,0,30,0,0,0,0,0,597.6991531,0.562097318,0.236467226,-4.255707763,2.359939986,16.28821525,0.614948224,0.715592602,57.57437515,1035.606072
Netherlands,Rotterdam,y,32631,Rottekade van Bleiswijk naar Prins Alexander thv hnr. 5 (2r),2022,38,51.9828682,4.547987,21372,6,12,4,3584.382,298.6985,2.333333333,4,1792.191,6,298.6985,1.128698689,4,0,113,113,0,0,0,0,602.3401985,0.572699445,0.251508583,-4.622119816,2.175495944,16.38558805,0.716630654,0.652258788,59.78976059,3437.214009
Netherlands,Rotterdam,y,32631,"Groene Kruisweg tussen Oldegaarde en Kromme Zandweg, Rotterdam",2022,8,51.88137,4.46994,13980,20,33,3.3,3127.084,94.76012121,2.95,16,2506.288,23,108.9690435,1.007686272,9,7,199,0,0,2,2,0,2100.515019,0.6464643,0.120357738,1.509259259,2.713120966,16.29247821,0.714458612,0.783936523,313.8499451,4825.127934
Netherlands,Rotterdam,y,32631,"Bergambachtstr. (Tunnel) tussen Gouderakstraat en Pascalweg, Rotterdam",2022,8,51.87161,4.5359,29868,36,73,4.055555556,7718.699,105.7356027,3.055555556,31,4440.31,47,94.47468085,1.058592612,20,10,127,0,0,2,0,0,881.3450757,0.301964834,0.199946165,-1.01826484,1.16243906,21.07674934,1.82747035,0.678683172,424.1102295,41557.51153
Netherlands,Rotterdam,y,32631,"Groeninx v Zoelenlaan tussen Gr v Zoelenviaduct en Akkeroord, Rotterdam IJsselmonde",2022,8,51.88455,4.56122,40338,38,79,4.157894737,8769.218,111.0027595,2.815789474,32,5130.052,46,111.5228696,1.154000279,27,5,122,103,0,3,1,0,1667.599422,0.473628342,0.207440492,-0.290909091,1.524618906,19.18127219,0.752982684,0.961294677,341.8476563,18661.18528
Netherlands,Rotterdam,y,32631,"Prins Alexanderlaan tussen Rietkerkweg en Kralingseweg, Rotterdam",2022,8,51.93387,4.56211,21077,32,60,3.75,6104.98,101.7496667,3.125,27,4262.324,43,99.12381395,1.065326671,14,12,0,106,0,2,1,0,1790.696237,0.442342195,0.177663782,-4.146118721,1.533974753,18.83468447,0.550289199,0.752371979,526.0317993,28769.13985
Netherlands,Rotterdam,y,32631,"Capelseweg tussen Roer en Barbizonlaan, Rotterdam",2022,8,51.95854,4.5614,26485,42,79,3.761904762,8293.845,104.9853797,3.047619048,38,6321.246,56,112.8793929,1.119682739,27,9,130,0,0,2,0,0,1134.235145,0.464223905,0.184005121,-5.470046083,1.487358868,18.2355867,0.771966639,0.780653453,512.0346069,21724.53932
Netherlands,Rotterdam,y,32631,"CS Provenierstunnel tussen Proveniersplein en Conradstraat, Rotterdam",2022,8,51.92551,4.468428,237932,33,49,2.96969697,4897.716,99.95338776,3.03030303,32,4165.6,41,101.6,1.06222723,27,4,106,0,5,9,7,4,943.3511588,0.198430808,0.203516256,3.02293578,2.812884282,15.66233224,4.027582936,0.609333383,497.3775635,108569.879
Netherlands,Rotterdam,y,32631,"Schiekade tussen Heer Bokelweg en Teilingerst/Simonstr, Rotterdam",2022,8,51.92742,4.47487,248981,57,101,3.543859649,8224.471,81.43040594,3.070175439,55,6224.358,74,84.11294595,1.040983806,43,10,0,0,3,1,10,0,1320.463133,0.266634631,0.159873062,4.175115207,1.909647616,19.89337918,0.623098708,0.748590716,504.6579895,61464.60757
Netherlands,Rotterdam,y,32631,"Rozenlaan viaduct tussen Gordelweg en Lathyrusplein, Rotterdam",2022,8,51.940513,4.469817,130420,45,68,3.022222222,6523.455,95.93316176,2.844444444,41,4751.255,51,93.16186275,1.057714537,36,3,0,0,0,0,0,0,2186.040604,0.321111973,0.194755576,0.316513761,1.999037097,19.60746891,1.191115786,0.755351337,521.3494263,37014.65963
Netherlands,Rotterdam,y,32631,"Bergweg viaduct tussen Gordelweg en Ceintuurbaan, Rotterdam",2022,8,51.941486,4.479888,159168,56,99,3.535714286,10226.711,103.3001111,3.196428571,52,7137.055,73,97.76787671,1.042088112,27,22,202,47,3,3,1,1,1887.424609,0.317346216,0.188069937,1.728110599,1.949782601,20.57586586,1.111185725,0.766603121,540.7325439,41773.84614
Netherlands,Rotterdam,y,32631,"Oostplein tussen Slaak en Oostmolenwerf, Rotterdam",2022,8,51.923133,4.497549,202262,95,200,4.210526316,13336.406,66.68203,3.136842105,88,9309.219,131,71.06274046,1.042405712,59,28,109,0,0,2,28,2,2626.105856,0.261072883,0.173982446,6.232876712,3.051403815,19.50055294,0.853262974,0.649244185,501.3764038,53803.30171
Netherlands,Rotterdam,y,32631,"Willemsbrug tussen Boompjes en Prins Hendrickkade, Rotterdam",2022,8,51.917979,4.49315,150674,49,80,3.265306122,9265.932,115.82415,3.102040816,44,7412.06,65,114.0316923,1.04609868,28,14,0,122,0,2,15,0,2631.401397,-0.010341202,0.280390881,2.605504587,2.568397739,17.23923877,1.978846163,0.813216828,169.4965363,24604.79987
Netherlands,Rotterdam,y,32631,"Rochussenstraat tussen Westersingel en Jongkindstraat, Rotterdam",2022,8,51.915807,4.472291,226300,47,78,3.319148936,6907.15,88.55320513,3.29787234,46,5951.116,64,92.9861875,1.010648887,24,19,109,0,1,3,36,2,1564.163995,0.302660201,0.17700461,2.359090909,2.551854778,19.45904208,0.487375904,0.829714385,437.2360535,66078.7217
USA,New York,n,32618,Prospect Park West,2022,33,40.671288,-73.971382,22175,38,56,2.947368421,6826.76,121.9064286,3.342105263,37,5502.527,52,105.8178269,1.015195837,23,13,0,165,2,1,0,0,1621.521613,0.324715679,0.208067009,49.25909091,3.99103075,14.07617631,0.454843558,0.779275981,1633.463867,40411.96225
USA,New York,n,32618,Manhattan Bridge Ped Path,2022,33,40.714573,-73.99495,1670,74,145,3.918918919,17039.322,117.5125655,3.5,70,14484.645,112,129.3271875,1.008223732,24,42,12,4,17,7,46,9,1298.245029,0.076562329,0.105427897,20.31506849,4.567734905,15.8875214,0.519605793,0.706077337,4562.383301,74907.86508
USA,New York,n,32618,Williamsburg Bridge Bike Path,2022,33,40.71053,-73.96145,55711,61,107,3.508196721,11509.728,107.5675514,3.62295082,61,10389.628,91,114.1717363,1.029511217,21,39,4,4,10,9,24,4,871.4606787,0.107337263,0.103187021,17.01408451,3.608127072,16.21264305,0.639186618,0.601148444,3614.609375,60191.30601
USA,New York,n,32618,Ed Koch Queensboro Bridge Shared Path,2022,33,40.75101,-73.94045,48433,67,116,3.462686567,18894.287,162.8817845,3.388059701,63,17428.297,99,176.043404,1.010609854,33,28,115,200,13,8,13,3,565.4489066,0.096960289,0.083076474,9.757990868,2.794460858,16.11785749,0.698486425,0.861262188,592.9217529,69830.28928
USA,New York,n,32618,Staten Island Ferry,2022,33,40.643387,-74.072075,3975,4,5,2.5,806.359,161.2718,3.5,4,806.359,5,161.2718,1.307947231,2,2,0,0,3,0,1,1,600.0204494,-0.080787873,0.156814799,1.646226415,2.766432023,14.44845639,2.212434301,0.830048337,70.78640747,24212.53756
USA,New York,n,32618,Pulaski Bridge,2022,33,40.742563,-73.951492,22610,83,168,4.048192771,17936.508,106.7649286,3.192771084,75,14344.707,122,117.5795656,1.013997095,46,26,165,0,19,8,21,3,1086.872155,0.089048564,0.096790415,7.232876712,3.213217059,17.42227744,0.676138509,0.861262188,889.2254639,47752.46574
USA,New York,n,32618,Kent Ave btw North 8th St and North 9th St,2022,33,40.720959,-73.96093,31663,31,51,3.290322581,6031.769,118.2699804,3.419354839,27,5021.738,44,114.1304091,1.024070025,6,21,161,11,15,2,16,3,0,0.126499616,0.139131619,6.435779817,4.828053019,16.24781393,1.105347848,0.656110121,807.2029419,77330.14127
USA,New York,n,32618,Manhattan Bridge Display Bike Counter,2022,33,40.7156,-73.99475,44646,70,136,3.885714286,16274.939,119.6686691,3.528571429,66,14075.781,107,131.5493551,1.008464878,20,42,179,13,13,8,55,7,1116.276892,0.093130969,0.122744158,20.44700461,4.19547735,15.94096297,0.436616852,0.771238868,4120.777344,73892.93578
USA,New York,n,32618,8th Ave at 50th St.,2022,33,40.762348,-73.98612,34214,32,49,3.0625,6852.898,139.8550612,3.96875,32,6852.898,49,139.8550612,1.000018182,1,31,157,230,15,3,50,4,0,0.084502549,0.076611117,33.32075472,8.574916436,14.12496545,0.473258861,0.604710574,4736.316895,107811.8954
USA,New York,n,32618,Amsterdam Ave at 86th St.,2022,33,40.7877,-73.97505,14440,40,76,3.8,9054.207,119.1343026,3.925,40,7487.601,64,116.9937656,1.000010431,3,37,170,4,12,10,27,3,0,0.124904127,0.113970395,41.51152074,7.148272067,15.20010868,0.574789455,0.644260397,7231.395508,84316.73537
USA,New York,n,32618,Columbus Ave at 86th St.,2022,33,40.7877,-73.97505,12279,40,76,3.8,9054.207,119.1343026,3.925,40,7487.601,64,116.9937656,1.000010431,3,37,170,4,12,10,27,3,0,0.124904127,0.113970395,41.51152074,7.148272067,15.20010868,0.574789455,0.644260397,7231.395508,84316.73537
USA,New York,n,32618,Manhattan Bridge Bike Comprehensive,2022,33,40.7156,-73.99475,44646,70,136,3.885714286,16274.939,119.6686691,3.528571429,66,14075.781,107,131.5493551,1.008464878,20,42,179,13,13,8,55,7,1116.276892,0.093130969,0.122744158,20.44700461,4.19547735,15.94096297,0.436616852,0.771238868,4120.777344,73892.93578
USA,New York,n,32618,Brooklyn Bridge Bicycle Path (Roadway),2022,33,40.712656,-74.004464,31888,53,81,3.056603774,10815.027,133.5188519,3.396226415,51,9996.433,71,140.794831,1.057003192,30,17,0,8,42,9,4,2,870.6276809,0.188836527,0.180204528,25.58715596,18.65535366,15.51951781,0.688423987,0.843970455,1312.822021,55379.57846
USA,New York,n,32618,111th St at 50th Ave,2022,33,40.74563,-73.8525,2093,26,54,4.153846154,4969.869,92.03461111,3.692307692,26,4229.772,40,105.7443,1.014892743,9,16,237,155,0,0,0,0,0,0.244442377,0.199511207,11.07834101,3.915977082,15.03624532,0.762048805,0.815713307,1330.947754,41023.28581
USA,Seattle,y,32610,Fremont Bridge,2022,38,47.648143,-122.349804,21560,33,76,4.606060606,6714.128,88.34378947,3.363636364,33,3854.137,44,87.59402273,1.020702106,23,9,125,0,29,4,16,1,1937.842526,0.169306898,0.173242206,9.771689498,5.811571073,19.13481022,1.345275447,0.875310685,34.59742355,47177.66824
USA,Seattle,y,32610,Spokane Street,2022,38,47.57127,-122.349699,6516,16,29,3.625,5821.647,200.7464483,3.25,15,3715.714,23,161.5527826,1.021954931,8,5,194,194,0,0,0,0,498.4940627,0.088286932,0.14527881,2.935779817,3.002369796,20.28785076,2.276519932,0.569379098,0,21854.45104
USA,Seattle,y,32610,2nd Avenue,2022,38,47.604745,-122.334772,6176,52,109,4.192307692,9519.073,87.33094495,3.846153846,52,7275.909,83,87.66155422,1.002498618,7,43,190,0,55,18,41,1,1382.996346,0.115582853,0.109733717,38.40639269,18.19288223,20.1505244,1.113136024,0.483020009,367.9107971,90192.81773
USA,Seattle,y,32610,Elliott Bay Trail in Myrtle Edwards Park,2022,38,47.618624,-122.359977,7828,22,52,4.727272727,5213.131,100.2525192,3.409090909,21,2970.818,30,99.02726667,1.002097821,10,11,0,120,2,3,3,0,794.675494,0.163645323,0.213854676,6.497716895,6.867549548,17.11965009,3.779209786,0.784555168,261.9756165,29387.28459
USA,Seattle,y,32610,Burke Gilman Trail north of NE 70th St,2022,38,47.679799,-122.265145,7932,16,38,4.75,8036.432,211.4850526,3.25,16,4018.216,19,211.4850526,1.059392639,12,4,219,214,1,4,0,1,705.7370422,0.439043442,0.214903777,35.90909091,15.12255718,21.63907138,0.585372656,0.718035052,519.2996826,46569.39717
USA,Seattle,y,32610,58th St Greenway at 22nd Ave,2021,38,47.670918,-122.384502,959,46,115,5,15166.163,131.8796783,3.586956522,45,7689.301,62,124.0209839,1.001679079,16,29,195,195,29,1,12,1,1077.24993,0.243044859,0.153736707,27,4.004692084,20.71854139,0.412991778,0.673810987,849.6720581,62172.37883
USA,Seattle,y,32610,Broadway Cycle Track North Of E Union St,2021,38,47.613183,-122.320807,2606,50,145,5.8,14060.199,96.96688966,3.46,49,7116.164,74,96.16437838,1.009441756,22,26,0,186,63,10,50,3,1908.660309,0.173398408,0.158187111,95.89545455,4.755186381,21.61827504,0.835702146,0.718665797,340.1219482,87030.98497
